userID;condition;rep_0--ecc_0--tech_3;rep_0--ecc_1--tech_3;rep_1--ecc_0--tech_3;rep_1--ecc_1--tech_3;rep_2--ecc_0--tech_3;rep_2--ecc_1--tech_3;rep_3--ecc_0--tech_3;rep_3--ecc_1--tech_3;rep_4--ecc_0--tech_3;rep_4--ecc_1--tech_3;rep_5--ecc_0--tech_3;rep_5--ecc_1--tech_3;rep_6--ecc_0--tech_3;rep_6--ecc_1--tech_3;rep_7--ecc_0--tech_3;rep_7--ecc_1--tech_3;rep_8--ecc_0--tech_3;rep_8--ecc_1--tech_3;rep_9--ecc_0--tech_3;rep_9--ecc_1--tech_3
MWa;H;2;3;3;4;2;4;2;2;3;1;6;3;2;3;2;3;3;1;3;2
MWa;AF;2;2;1;2;2;5;2;2;2;1;2;2;3;3;2;4;3;4;2;0
MWa;SL;4;3;3;1;3;4;4;1;4;2;5;2;3;3;5;2;3;1;4;3
MWa;AF;4;4;5;2;5;1;1;2;5;2;3;2;2;3;4;3;1;5;3;1
2;AF;3;3;2;3;3;3;2;2;0;1;0;3;1;4;3;1;3;1;1;3
2;SL;2;2;4;3;2;1;5;1;2;3;1;3;0;5;2;5;1;0;5;1
2;H;4;1;0;3;3;1;4;0;4;4;1;1;4;2;4;2;4;2;3;2
3;AF;1;2;3;3;2;2;4;2;2;3;3;3;3;1;1;4;2;1;5;0
3;H;5;4;1;1;5;4;3;2;1;1;3;1;2;3;1;3;2;4;3;3
3;SL;2;1;2;1;2;1;4;4;4;3;3;3;1;2;2;3;4;3;3;3
4;SL;0;0;1;1;0;1;1;1;1;1;1;0;0;2;2;1;2;2;0;0
4;AF;2;1;1;2;0;0;1;1;1;1;2;1;3;0;0;1;1;1;1;0
4;H;1;3;1;1;1;1;2;2;0;0;1;2;2;2;1;0;2;2;0;1
5;SL;2;1;3;1;3;4;1;4;1;4;1;1;1;1;4;0;2;1;1;1
5;H;2;1;1;2;3;1;2;1;4;1;3;2;1;2;0;2;1;2;4;2
5;AF;4;0;2;3;5;1;4;1;2;0;3;2;2;2;2;3;0;1;1;2
6;H;0;3;2;3;0;2;3;1;2;1;1;2;1;1;1;2;0;1;1;2
6;SL;2;0;1;3;2;1;3;2;2;2;1;3;1;3;2;2;0;0;3;1
6;AF;2;2;1;1;3;3;2;1;1;3;2;2;1;1;1;2;2;1;0;1
7;H;2;1;2;1;2;2;1;4;4;3;1;5;5;3;4;1;2;2;3;3
7;AF;1;1;5;2;4;2;4;3;2;5;1;4;2;4;3;4;2;5;3;4
7;SL;4;4;2;5;3;3;1;4;1;2;2;1;4;1;4;4;3;4;3;3
