userID;condition;rep_0--ecc_0--tech_3;rep_0--ecc_1--tech_3;rep_1--ecc_0--tech_3;rep_1--ecc_1--tech_3;rep_2--ecc_0--tech_3;rep_2--ecc_1--tech_3;rep_3--ecc_0--tech_3;rep_3--ecc_1--tech_3;rep_4--ecc_0--tech_3;rep_4--ecc_1--tech_3;rep_5--ecc_0--tech_3;rep_5--ecc_1--tech_3;rep_6--ecc_0--tech_3;rep_6--ecc_1--tech_3;rep_7--ecc_0--tech_3;rep_7--ecc_1--tech_3;rep_8--ecc_0--tech_3;rep_8--ecc_1--tech_3;rep_9--ecc_0--tech_3;rep_9--ecc_1--tech_3
MWa;H;6;11;9;11;8;0;3;7;11;3;6;11;3;8;6;11;8;1;9;10
MWa;AF;1;6;10;7;5;7;0;2;4;1;4;8;0;4;0;7;5;8;4;9
MWa;SL;4;8;2;10;2;0;9;11;1;8;2;7;1;2;1;1;7;2;8;0
MWa;AF;2;3;7;2;1;8;8;7;11;7;7;3;4;1;4;3;11;6;1;5
2;AF;3;0;10;1;5;3;9;6;8;9;0;6;5;2;7;8;7;5;1;2
2;SL;2;10;2;5;5;11;3;0;5;10;6;1;1;7;9;1;1;6;2;3
2;H;2;8;1;8;5;2;11;5;4;9;11;6;4;4;5;7;7;3;7;6
3;AF;2;10;7;1;11;8;10;8;0;11;6;5;6;10;5;11;5;3;9;4
3;H;1;7;9;6;9;1;6;6;4;11;3;9;1;7;9;7;10;6;6;6
3;SL;0;2;8;9;2;6;5;10;11;5;9;1;6;8;0;1;8;1;2;4
4;SL;1;0;10;10;9;10;7;6;4;0;6;10;5;0;7;0;8;4;7;0
4;AF;9;6;4;4;8;11;10;3;8;3;9;10;8;8;7;3;10;7;1;11
4;H;8;11;4;3;3;4;7;1;2;0;4;8;2;5;6;7;6;7;11;0
5;SL;5;0;9;11;11;11;11;9;8;0;4;5;0;6;3;10;10;5;8;9
5;H;5;10;7;3;10;10;11;9;10;11;8;0;3;7;1;3;1;10;11;6
5;AF;1;9;11;8;9;6;10;3;4;4;5;10;4;9;10;8;3;0;7;11
6;H;1;5;6;7;10;1;11;11;5;2;0;0;4;9;0;0;11;10;5;5
6;SL;8;1;8;7;6;2;0;8;4;5;1;2;10;7;2;6;5;2;5;6
6;AF;1;3;7;2;3;7;5;8;4;0;2;5;5;0;6;3;9;4;8;6
7;H;6;4;2;8;9;3;5;9;5;4;5;2;2;10;6;0;1;2;0;9
7;AF;10;9;5;10;4;9;6;11;9;3;10;7;4;6;7;4;9;1;7;0
7;SL;9;1;8;4;6;6;8;10;5;0;9;0;0;7;2;9;1;11;6;8
8;AF;2;5;2;2;10;4;1;4;6;6;10;6;11;3;11;0;11;8;0;1
8;SL;11;11;10;5;5;8;3;4;11;3;1;1;5;11;4;9;4;5;6;5
8;H;1;1;2;0;6;8;7;8;7;5;1;11;2;3;0;10;8;4;2;1
