userID;condition;rep_0--ecc_0--tech_3;rep_0--ecc_1--tech_3;rep_1--ecc_0--tech_3;rep_1--ecc_1--tech_3;rep_2--ecc_0--tech_3;rep_2--ecc_1--tech_3;rep_3--ecc_0--tech_3;rep_3--ecc_1--tech_3;rep_4--ecc_0--tech_3;rep_4--ecc_1--tech_3;rep_5--ecc_0--tech_3;rep_5--ecc_1--tech_3;rep_6--ecc_0--tech_3;rep_6--ecc_1--tech_3;rep_7--ecc_0--tech_3;rep_7--ecc_1--tech_3;rep_8--ecc_0--tech_3;rep_8--ecc_1--tech_3;rep_9--ecc_0--tech_3;rep_9--ecc_1--tech_3
MWa;H;3;7;2;3;10;-1;14;12;6;14;6;6;2;-1;14;18;7;-1;7;-1
MWa;AF;7;6;6;5;5;12;2;5;6;3;11;6;10;7;10;9;5;6;11;15
MWa;SL;13;3;12;4;13;8;12;9;9;10;3;6;10;2;14;8;0;8;7;9
MWa;AF;2;6;11;7;17;6;7;7;3;13;4;23;18;2;4;10;11;5;8;9
2;AF;2;3;11;3;10;7;6;10;12;5;8;15;4;6;5;169;3;18;6;0
2;SL;12;5;5;11;3;4;3;5;4;7;10;13;12;9;8;12;10;6;2;11
2;H;5;-1;6;-1;2;15;4;8;12;17;7;7;3;-1;6;-1;5;6;3;-1
3;AF;8;7;6;7;2;1;31;8;2;4;1;56;5;13;7;5;7;61;3;9
3;H;6;-1;8;-1;6;-1;11;4;4;-1;10;0;9;-1;7;-1;6;-1;7;-1
3;SL;6;3;0;6;4;6;1;7;12;6;5;4;4;7;2;6;5;7;7;5
4;SL;2;-1;3;5;2;5;4;8;13;11;13;-1;8;7;6;3;9;22;5;13
4;AF;13;15;11;-1;10;9;12;12;9;3;9;9;3;5;8;2;5;16;6;14
4;H;7;1;17;-1;9;13;-1;-1;7;-1;1;-1;17;8;2;2;13;12;12;1
5;SL;9;10;11;14;11;126;3;11;16;9;15;19;20;62;12;53;16;130;7;123
5;H;14;12;10;-1;13;-1;4;-1;6;12;-1;-1;9;6;9;-1;9;6;9;17
5;AF;6;14;15;13;1;174;14;11;3;4;14;4;5;11;11;8;12;11;9;4
6;H;6;-1;9;-1;13;-1;10;8;8;-1;5;12;8;16;9;-1;14;9;5;8
6;SL;7;3;5;4;3;10;1;13;5;12;7;8;7;9;3;10;7;9;9;2
6;AF;8;13;9;9;10;4;2;8;3;4;5;11;9;6;3;4;5;7;3;15
7;H;-1;-1;-1;-1;-1;-1;7;-1;14;-1;5;-1;5;-1;7;-1;6;4;5;-1
7;AF;9;7;7;10;10;4;6;5;6;6;7;5;2;3;2;266;18;0;6;4
7;SL;3;4;7;8;14;7;1;7;6;3;6;7;13;68;8;7;13;2;2;3
8;AF;15;4;11;6;6;14;5;1;10;5;13;9;4;10;9;9;5;6;12;16
8;SL;13;28;3;9;12;9;10;2;9;18;14;15;16;19;3;10;20;7;10;6
8;H;7;4;6;-1;11;-1;13;-1;5;-1;4;-1;6;-1;7;-1;1;-1;6;-1
9;SL;9;2;2;21;8;4;43;7;5;7121;5;6;2;4;10;11;4;10;1;2
9;H;0;288;5;10;11;6;5;0;0;-1;4;5;1;-1;2;-1;4;6;7;5
9;AF;25;10;6;6;4;64;1;2;7;17;7;4;8;14;12;2;2;8;3;5
10;H;2;6;9;0;2;-1;5;6;4;10;10;16;3;6;1;13;16;7;11;-1
10;AF;4;5;4;133;6;6;3;7;6;9;8;12;3;5;5;4;5;5;6;3
10;SL;6;2;6;6;5;4;6;3;5;6;6;12;7;4;3;4;8;4;7;9
11;AF;14;12;13;7;5;1;13;5;5;4;6;7;11;15;2;11;11;5;1;3
11;H;11;-1;4;-1;11;-1;15;-1;14;3;20;-1;9;-1;7;-1;16;-1;14;-1
11;SL;10;2;7;6;7;9;4;15;17;0;11;7;5;7;17;13;6;135;9;11
