userID;condition;rep_0--ecc_0--tech_3;rep_0--ecc_1--tech_3;rep_1--ecc_0--tech_3;rep_1--ecc_1--tech_3;rep_2--ecc_0--tech_3;rep_2--ecc_1--tech_3;rep_3--ecc_0--tech_3;rep_3--ecc_1--tech_3;rep_4--ecc_0--tech_3;rep_4--ecc_1--tech_3;rep_5--ecc_0--tech_3;rep_5--ecc_1--tech_3;rep_6--ecc_0--tech_3;rep_6--ecc_1--tech_3;rep_7--ecc_0--tech_3;rep_7--ecc_1--tech_3;rep_8--ecc_0--tech_3;rep_8--ecc_1--tech_3;rep_9--ecc_0--tech_3;rep_9--ecc_1--tech_3
MWa;H;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0
MWa;AF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
MWa;SL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
MWa;AF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;AF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;SL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;H;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0
3;AF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;H;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;0;1;0;1;0
3;SL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;SL;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
4;AF;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;H;1;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1
5;SL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;H;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;0;1;1;1;1
5;AF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;H;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1
6;SL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;AF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;H;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0
7;AF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;SL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;AF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;SL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;H;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
9;SL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;H;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1
9;AF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;H;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
10;AF;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;SL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
